,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7402413058907026,0.5067796610169492,0.7994652406417112,0.6203319502074689,0.8449068692035443
Random Forest,0.772888573456352,0.5557851239669421,0.7192513368983957,0.627039627039627,0.8386240925882869
XGBoost,0.7778566359119943,0.575682382133995,0.6203208556149733,0.5971685971685972,0.8332132062311091
